Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,3,HSS (I-XII),4,Government Aided,Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,1,0,2,2,2,2,2,2,2,0,0,0,0,1,1,0,1,0,1,0,2,2,0,1,1,0,0,2,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,3,HSS (I-XII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,Rural,3,Co-Ed,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,10,HSS (IX-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,6,6,0,2,6,6,5,6,6,6,0,0,0,0,5,6,0,1,0,6,1,6,3,6,6,1,1,0,6,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,5,HSS (VI-XII),4,Government Aided,Rural,2,Girls,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,5,HSS (VI-XII),4,Government Aided,Rural,3,Co-Ed,5,4,0,5,5,5,4,5,5,5,0,0,0,0,1,5,0,1,3,4,0,2,2,4,5,0,0,0,3,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,5,HSS (VI-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,3,3,0,1,3,3,3,2,2,2,0,0,0,0,3,2,0,0,0,2,2,3,2,2,3,0,0,0,3,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,160,156,0,10,143,143,43,134,147,151,0,0,0,0,17,130,0,0,119,93,0,62,74,3,129,0,84,0,99,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,1,PS (I-V),2,Tribal Welfare Department,Rural,3,Co-Ed,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-17,9,Uttar Pradesh,933,KANPUR DEHAT,93301,AKBARPUR,1,PS (I-V),5,Private Unaided (Recognized),Rural,3,Co-Ed,37,37,0,4,34,35,30,37,37,37,0,0,0,0,21,26,0,0,4,22,1,22,12,14,27,0,0,0,33,0,0
